,Location,Latitude,Longitude
68,GreenbeltMD,38.9933654,-76.88333238304114
69,Haldwani-ARIES,29.2144809,79.5279012
70,HamptonVA-HU,37.0264414,-76.3442846
71,HamptonVA,37.0264414,-76.3442846
72,Heidelberg,49.4093582,8.694724
73,Helsinki,60.1674881,24.9427473
74,HoustonTX-SanJacinto,29.7589382,-95.3676974
75,HoustonTX,29.7589382,-95.3676974
76,HuntsvilleAL,33.55872338360131,-86.80237471744451
77,Ilocos,17.2,120.5
78,Incheon-ESC,37.456,126.7052
79,Innsbruck,47.2654296,11.3927685
80,IowaCityIA-WHS,41.6612561,-91.5299106
81,Islamabad-NUST,33.6938118,73.0651511
82,Izana,41.672584,-2.6099611
83,Jeonju,35.8237631,127.1472805
84,Juelich,50.9220931,6.3611015
85,KenoshaWI,42.5846773,-87.8212263
86,Kobe,34.6932379,135.1943764
87,Kosetice,49.5583099,15.1161555
88,LaPaz,-16.4955455,-68.1336229
89,LaPorteTX,29.6657838,-95.0193729
90,LapwaiID,46.4048423,-116.804588
91,LibertyTX,30.0856736,-94.7856262
92,Lindenberg,53.7651998,13.0225848
93,LondonderryNH,42.8650869,-71.3739532
94,LynnMA,42.466763,-70.9494939
95,MadisonCT,41.2794282,-72.5983151
96,ManhattanKS,39.1836082,-96.5716694
97,ManhattanNY-CCNY,40.7896239,-73.9598939
98,MaunaLoaHI,19.4755277,-155.6057028
99,MexicoCity-UNAM,19.4326296,-99.1331785
100,MexicoCity-Vallejo,19.4326296,-99.1331785
101,MiamiFL-FIU,25.7741728,-80.19362
102,MountainViewCA,37.3893889,-122.0832101
103,Nagoya,35.1851045,136.8998438
104,Nainital-ARIES,29.3905295,79.460869
105,NewBrunswickNJ,40.4862174,-74.4518173
106,NewHavenCT,41.3082138,-72.9250518
107,NewLondonCT,41.3556187,-72.0997804
108,NewOrleansLA-XULA,29.9759983,-90.0782127
109,NyAlesund,78.9255303,11.9291656
110,OldFieldNY,40.9598847,-73.1295748
111,Palau,42.5717989,2.9600905
112,Palawan,11.0798978,120.93734215474105
113,PhiladelphiaPA,39.9527237,-75.1635262
114,PhnomPenh,11.5730391,104.857807
115,PittsburghPA,40.4416941,-79.9900861
116,Pontianak,-0.0226903,109.3447488
117,Potchefstroom-METSI,-26.7150922,27.1013887
118,QueensNY,40.6515585,-73.79267536317502
119,QuezonCity,14.6510546,121.0486254
120,RichmondCA,37.9357576,-122.347748
121,Rome-IIA,41.8933203,12.4829321
122,Rome-ISAC,41.8933203,12.4829321
123,Rome-SAP,41.8933203,12.4829321
124,Rotterdam-Haven,51.91925665,4.492419264843747
125,SaltLakeCityUT-Hawthorne,40.7596198,-111.886797
126,SaltLakeCityUT,40.7596198,-111.886797
127,SanJoseCA,37.3361663,-121.890591
128,Sapporo,43.061936,141.3542924
129,Seosan,36.784499,126.450317
130,Seoul-KU,37.54184695,127.07711486219412
131,Seoul-SNU,37.45811495,126.95216069831967
132,Seoul,37.5666791,126.9782914
133,Singapore-NUS,1.2962018,103.77689765953073
134,Songkhla,6.8790221,100.5498542
135,SouthJordanUT,40.5584882,-111.9367107
136,StGeorge,37.104153,-113.584131
137,StonyPlain,53.5289862,-114.004873
138,Suwon-USW,37.2633325,127.0287472
139,SWDetroitMI,42.3140653,-83.1061567
140,Tel-Aviv,32.0852997,34.7818064
141,Thessaloniki,40.6403167,22.9352716
142,Tokyo-Sophia,35.6947578,139.7010123
